,team_id_salary,league_id_salary,salary,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,w,l,gs,sv,ipouts,er,baopp,era,wp,bk,bfp,gf,inn_outs,po,a,e,dp,Days Played
2881,BAL,AL,4560000,1965.0,42.0,370.0,733.0,3.0,1.0,66.0,4.0,0.0,1.0,362.0,617.0,46.0,11.0,3.0,5.0,0.0,38.0,30.0,7.0,2.5,2218.0,320.0,3.632,72.47,31.0,0.0,3233.0,52.5,2223.0,34.0,101.0,4.0,12.0,4416.0
2882,NYN,NL,2250000,1786.0,1767.0,217.0,443.0,89.0,10.0,25.0,158.0,33.0,20.0,113.0,352.0,16.0,24.0,44.0,15.0,18.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13307.0,1178.0,534.25,40.0,87.0,2817.0
2883,BAL,AL,1557000,315.0,0.0,85.0,205.0,0.0,0.0,13.0,0.0,0.0,0.0,59.0,118.0,12.0,4.0,8.0,1.0,11.0,10.0,5.0,2.0,0.0,521.0,75.0,0.883,11.89,5.0,0.0,774.0,29.0,402.0,6.0,28.0,1.0,0.0,911.0
2884,MON,NL,1897500,1091.0,126.0,352.0,779.0,3.0,0.0,55.0,5.0,0.0,1.0,300.0,690.0,38.0,16.0,12.0,0.0,0.0,38.0,33.0,123.0,2.5,2387.5,313.0,3.38,56.03,30.0,2.5,3431.25,52.5,2500.0,45.0,78.0,17.0,6.0,3574.0
2885,TBA,AL,10650000,891.0,0.0,82.0,192.0,0.0,0.0,21.0,0.0,0.0,0.0,72.0,319.0,12.0,5.0,3.0,7.0,1.0,21.0,11.0,0.0,2.5,779.0,80.0,1.1639999999999997,16.57,9.0,0.0,1037.0,52.5,666.0,4.0,24.0,1.0,1.0,1845.0
2886,SFN,NL,10687500,3409.75,3419.5,945.0,1884.75,152.5,17.5,79.0,357.5,62.5,35.0,448.0,1238.0,57.0,15.0,30.0,43.5,70.0,0.0,0.0,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23936.0,2443.75,262.0,64.5,58.0,6355.0
2887,SFN,NL,14400000,1560.0,2706.0,281.0,700.0,140.0,6.0,67.0,357.5,7.0,10.0,246.0,503.0,14.0,7.0,0.0,31.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16380.0,1021.0,534.25,64.5,87.0,2588.0
2888,BAL,AL,327000,15.0,0.0,11.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,0.28,5.94,1.0,0.0,75.0,1.0,50.0,2.0,2.0,0.0,0.0,38.0
2889,TBA,AL,900000,222.0,2.0,29.0,77.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,77.0,8.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,236.0,24.0,0.314,4.98,2.0,0.0,340.0,27.0,235.0,4.0,8.0,2.0,0.0,542.0
2890,TOR,AL,4500000,517.0,17.0,290.0,495.0,0.0,0.0,58.0,0.0,0.0,0.0,219.0,423.0,9.0,22.0,3.0,22.0,7.0,26.0,29.0,69.0,1.0,1517.0,263.0,2.0700000000000003,42.03,37.0,1.0,2209.0,25.0,1446.0,41.0,68.0,10.0,9.0,3608.0
